,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.9883637428283691,20,0.0069444445,0.014492753623188406,0.0
1,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.9719778299331665,40,0.017361112,0.036231884057971016,0.0
2,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.9466122984886169,60,0.020833334,0.043478260869565216,0.0
3,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.9117064476013184,80,0.038194444,0.07971014492753623,0.0
4,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.8675503134727478,100,0.048611112,0.10144927536231885,0.0
5,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.813912570476532,120,0.052083332,0.09420289855072464,0.013333333333333334
6,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.7505518198013306,140,0.052083332,0.10144927536231885,0.006666666666666667
7,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.6783621907234192,160,0.07986111,0.10869565217391304,0.05333333333333334
8,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.5938520431518555,180,0.12847222,0.07971014492753623,0.17333333333333334
9,RandomBlackBox,bikeMotorbike,alexnet,20_80,bing,0.49957701563835144,200,0.25347224,0.07971014492753623,0.41333333333333333
10,RandomBlackBox,bikeMotorbike,alexnet,30_70,bing,0.9883637428283691,20,0.006849315,0.014084507042253521,0.0
11,RandomBlackBox,bikeMotorbike,alexnet,30_70,bing,0.9719778299331665,40,0.006849315,0.014084507042253521,0.0
12,RandomBlackBox,bikeMotorbike,alexnet,30_70,bing,0.9466122984886169,60,0.017123288,0.035211267605633804,0.0
13,RandomBlackBox,bikeMotorbike,alexnet,30_70,bing,0.9117064476013184,80,0.03767123,0.07746478873239436,0.0
14,RandomBlackBox,bikeMotorbike,alexnet,30_70,bing,0.8675503134727478,100,0.04452055,0.09154929577464789,0.0
15,RandomBlackBox,bikeMotorbike,alexnet,30_70,bing,0.813912570476532,120,0.05136986,0.1056338028169014,0.0
16,RandomBlackBox,bikeMotorbike,alexnet,30_70,bing,0.7505518198013306,140,0.07534246,0.14788732394366197,0.006666666666666667
17,RandomBlackBox,bikeMotorbike,alexnet,30_70,bing,0.6783621907234192,160,0.09246575,0.1619718309859155,0.02666666666666667
18,RandomBlackBox,bikeMotorbike,alexnet,30_70,bing,0.5938520431518555,180,0.11986301,0.11971830985915492,0.12
19,RandomBlackBox,bikeMotorbike,alexnet,30_70,bing,0.49957701563835144,200,0.2020548,0.1619718309859155,0.24
20,RandomBlackBox,bikeMotorbike,alexnet,40_60,bing,0.9883637428283691,20,0.006802721,0.013793103448275862,0.0
21,RandomBlackBox,bikeMotorbike,alexnet,40_60,bing,0.9719778299331665,40,0.006802721,0.013793103448275862,0.0
22,RandomBlackBox,bikeMotorbike,alexnet,40_60,bing,0.9466122984886169,60,0.006802721,0.013793103448275862,0.0
23,RandomBlackBox,bikeMotorbike,alexnet,40_60,bing,0.9117064476013184,80,0.017006803,0.034482758620689655,0.0
24,RandomBlackBox,bikeMotorbike,alexnet,40_60,bing,0.8675503134727478,100,0.027210884,0.05517241379310345,0.0
25,RandomBlackBox,bikeMotorbike,alexnet,40_60,bing,0.813912570476532,120,0.034013607,0.06206896551724138,0.006711409395973154
26,RandomBlackBox,bikeMotorbike,alexnet,40_60,bing,0.7505518198013306,140,0.040816326,0.07586206896551724,0.006711409395973154
27,RandomBlackBox,bikeMotorbike,alexnet,40_60,bing,0.6783621907234192,160,0.047619045,0.04827586206896552,0.04697986577181208
28,RandomBlackBox,bikeMotorbike,alexnet,40_60,bing,0.5938520431518555,180,0.1122449,0.041379310344827586,0.18120805369127516
29,RandomBlackBox,bikeMotorbike,alexnet,40_60,bing,0.49957701563835144,200,0.21768707,0.05517241379310345,0.37583892617449666
30,RandomBlackBox,bikeMotorbike,alexnet,50_50,bing,0.9883637428283691,20,0.0033898305,0.00684931506849315,0.0
31,RandomBlackBox,bikeMotorbike,alexnet,50_50,bing,0.9719778299331665,40,0.0033898305,0.00684931506849315,0.0
32,RandomBlackBox,bikeMotorbike,alexnet,50_50,bing,0.9466122984886169,60,0.0033898305,0.00684931506849315,0.0
33,RandomBlackBox,bikeMotorbike,alexnet,50_50,bing,0.9117064476013184,80,0.016949153,0.03424657534246575,0.0
34,RandomBlackBox,bikeMotorbike,alexnet,50_50,bing,0.8675503134727478,100,0.0033898305,0.00684931506849315,0.0
35,RandomBlackBox,bikeMotorbike,alexnet,50_50,bing,0.813912570476532,120,0.033898305,0.06164383561643835,0.006711409395973154
36,RandomBlackBox,bikeMotorbike,alexnet,50_50,bing,0.7505518198013306,140,0.047457628,0.07534246575342465,0.020134228187919462
37,RandomBlackBox,bikeMotorbike,alexnet,50_50,bing,0.6783621907234192,160,0.06440678,0.06164383561643835,0.06711409395973154
38,RandomBlackBox,bikeMotorbike,alexnet,50_50,bing,0.5938520431518555,180,0.122033894,0.06164383561643835,0.18120805369127516
39,RandomBlackBox,bikeMotorbike,alexnet,50_50,bing,0.49957701563835144,200,0.24067797,0.07534246575342465,0.40268456375838924
40,RandomBlackBox,bikeMotorbike,resnet,20_80,bing,0.9883637428283691,20,0.0,0.0,0.0
41,RandomBlackBox,bikeMotorbike,resnet,20_80,bing,0.9719778299331665,40,0.0068259384,0.013986013986013986,0.0
42,RandomBlackBox,bikeMotorbike,resnet,20_80,bing,0.9466122984886169,60,0.017064845,0.03496503496503497,0.0
43,RandomBlackBox,bikeMotorbike,resnet,20_80,bing,0.9117064476013184,80,0.023890784,0.04895104895104895,0.0
44,RandomBlackBox,bikeMotorbike,resnet,20_80,bing,0.8675503134727478,100,0.054607507,0.11188811188811189,0.0
45,RandomBlackBox,bikeMotorbike,resnet,20_80,bing,0.813912570476532,120,0.102389075,0.2097902097902098,0.0
46,RandomBlackBox,bikeMotorbike,resnet,20_80,bing,0.7505518198013306,140,0.15699658,0.3146853146853147,0.006666666666666667
47,RandomBlackBox,bikeMotorbike,resnet,20_80,bing,0.6783621907234192,160,0.20136519,0.40559440559440557,0.006666666666666667
48,RandomBlackBox,bikeMotorbike,resnet,20_80,bing,0.5938520431518555,180,0.25255972,0.5104895104895105,0.006666666666666667
49,RandomBlackBox,bikeMotorbike,resnet,20_80,bing,0.49957701563835144,200,0.30034128,0.6013986013986014,0.013333333333333334
50,RandomBlackBox,bikeMotorbike,resnet,30_70,bing,0.9883637428283691,20,0.0034013605,0.006944444444444444,0.0
51,RandomBlackBox,bikeMotorbike,resnet,30_70,bing,0.9719778299331665,40,0.013605442,0.027777777777777776,0.0
52,RandomBlackBox,bikeMotorbike,resnet,30_70,bing,0.9466122984886169,60,0.013605442,0.027777777777777776,0.0
53,RandomBlackBox,bikeMotorbike,resnet,30_70,bing,0.9117064476013184,80,0.017006803,0.034722222222222224,0.0
54,RandomBlackBox,bikeMotorbike,resnet,30_70,bing,0.8675503134727478,100,0.030612245,0.0625,0.0
55,RandomBlackBox,bikeMotorbike,resnet,30_70,bing,0.813912570476532,120,0.06462585,0.13194444444444445,0.0
56,RandomBlackBox,bikeMotorbike,resnet,30_70,bing,0.7505518198013306,140,0.10204081,0.2013888888888889,0.006666666666666667
57,RandomBlackBox,bikeMotorbike,resnet,30_70,bing,0.6783621907234192,160,0.1292517,0.25,0.013333333333333334
58,RandomBlackBox,bikeMotorbike,resnet,30_70,bing,0.5938520431518555,180,0.18707483,0.3194444444444444,0.06
59,RandomBlackBox,bikeMotorbike,resnet,30_70,bing,0.49957701563835144,200,0.23469387,0.3541666666666667,0.12
60,RandomBlackBox,bikeMotorbike,resnet,40_60,bing,0.9883637428283691,20,0.0,0.0,0.0
61,RandomBlackBox,bikeMotorbike,resnet,40_60,bing,0.9719778299331665,40,0.0,0.0,0.0
62,RandomBlackBox,bikeMotorbike,resnet,40_60,bing,0.9466122984886169,60,0.0,0.0,0.0
63,RandomBlackBox,bikeMotorbike,resnet,40_60,bing,0.9117064476013184,80,0.0,0.0,0.0
64,RandomBlackBox,bikeMotorbike,resnet,40_60,bing,0.8675503134727478,100,0.006779661,0.013793103448275862,0.0
65,RandomBlackBox,bikeMotorbike,resnet,40_60,bing,0.813912570476532,120,0.016949153,0.034482758620689655,0.0
66,RandomBlackBox,bikeMotorbike,resnet,40_60,bing,0.7505518198013306,140,0.044067796,0.05517241379310345,0.03333333333333333
67,RandomBlackBox,bikeMotorbike,resnet,40_60,bing,0.6783621907234192,160,0.07457627,0.07586206896551724,0.07333333333333333
68,RandomBlackBox,bikeMotorbike,resnet,40_60,bing,0.5938520431518555,180,0.12881356,0.12413793103448276,0.13333333333333333
69,RandomBlackBox,bikeMotorbike,resnet,40_60,bing,0.49957701563835144,200,0.20677966,0.1793103448275862,0.23333333333333334
70,RandomBlackBox,bikeMotorbike,resnet,50_50,bing,0.9883637428283691,20,0.0,0.0,0.0
71,RandomBlackBox,bikeMotorbike,resnet,50_50,bing,0.9719778299331665,40,0.0,0.0,0.0
72,RandomBlackBox,bikeMotorbike,resnet,50_50,bing,0.9466122984886169,60,0.0033783785,0.00684931506849315,0.0
73,RandomBlackBox,bikeMotorbike,resnet,50_50,bing,0.9117064476013184,80,0.010135136,0.00684931506849315,0.013333333333333334
74,RandomBlackBox,bikeMotorbike,resnet,50_50,bing,0.8675503134727478,100,0.0,0.0,0.0
75,RandomBlackBox,bikeMotorbike,resnet,50_50,bing,0.813912570476532,120,0.037162162,0.0136986301369863,0.06
76,RandomBlackBox,bikeMotorbike,resnet,50_50,bing,0.7505518198013306,140,0.08783784,0.00684931506849315,0.16666666666666666
77,RandomBlackBox,bikeMotorbike,resnet,50_50,bing,0.6783621907234192,160,0.1554054,0.0136986301369863,0.29333333333333333
78,RandomBlackBox,bikeMotorbike,resnet,50_50,bing,0.5938520431518555,180,0.21621622,0.00684931506849315,0.42
79,RandomBlackBox,bikeMotorbike,resnet,50_50,bing,0.49957701563835144,200,0.33445945,0.03424657534246575,0.6266666666666667
80,RandomBlackBox,bikeMotorbike,vgg,20_80,bing,0.9883637428283691,20,0.0,0.0,0.0
81,RandomBlackBox,bikeMotorbike,vgg,20_80,bing,0.9719778299331665,40,0.0033898305,0.006896551724137931,0.0
82,RandomBlackBox,bikeMotorbike,vgg,20_80,bing,0.9466122984886169,60,0.006779661,0.013793103448275862,0.0
83,RandomBlackBox,bikeMotorbike,vgg,20_80,bing,0.9117064476013184,80,0.013559322,0.027586206896551724,0.0
84,RandomBlackBox,bikeMotorbike,vgg,20_80,bing,0.8675503134727478,100,0.013559322,0.027586206896551724,0.0
85,RandomBlackBox,bikeMotorbike,vgg,20_80,bing,0.813912570476532,120,0.016949153,0.034482758620689655,0.0
86,RandomBlackBox,bikeMotorbike,vgg,20_80,bing,0.7505518198013306,140,0.033898305,0.06206896551724138,0.006666666666666667
87,RandomBlackBox,bikeMotorbike,vgg,20_80,bing,0.6783621907234192,160,0.040677965,0.08275862068965517,0.0
88,RandomBlackBox,bikeMotorbike,vgg,20_80,bing,0.5938520431518555,180,0.08135593,0.16551724137931034,0.0
89,RandomBlackBox,bikeMotorbike,vgg,20_80,bing,0.49957701563835144,200,0.13559322,0.2482758620689655,0.02666666666666667
90,RandomBlackBox,bikeMotorbike,vgg,30_70,bing,0.9883637428283691,20,0.0,0.0,0.0
91,RandomBlackBox,bikeMotorbike,vgg,30_70,bing,0.9719778299331665,40,0.0034013605,0.006944444444444444,0.0
92,RandomBlackBox,bikeMotorbike,vgg,30_70,bing,0.9466122984886169,60,0.0034013605,0.006944444444444444,0.0
93,RandomBlackBox,bikeMotorbike,vgg,30_70,bing,0.9117064476013184,80,0.006802721,0.013888888888888888,0.0
94,RandomBlackBox,bikeMotorbike,vgg,30_70,bing,0.8675503134727478,100,0.013605442,0.020833333333333332,0.006666666666666667
95,RandomBlackBox,bikeMotorbike,vgg,30_70,bing,0.813912570476532,120,0.027210884,0.05555555555555555,0.0
96,RandomBlackBox,bikeMotorbike,vgg,30_70,bing,0.7505518198013306,140,0.044217687,0.08333333333333333,0.006666666666666667
97,RandomBlackBox,bikeMotorbike,vgg,30_70,bing,0.6783621907234192,160,0.07142857,0.13194444444444445,0.013333333333333334
98,RandomBlackBox,bikeMotorbike,vgg,30_70,bing,0.5938520431518555,180,0.091836736,0.1597222222222222,0.02666666666666667
99,RandomBlackBox,bikeMotorbike,vgg,30_70,bing,0.49957701563835144,200,0.16666666,0.2569444444444444,0.08
100,RandomBlackBox,bikeMotorbike,vgg,40_60,bing,0.9883637428283691,20,0.0,0.0,0.0
101,RandomBlackBox,bikeMotorbike,vgg,40_60,bing,0.9719778299331665,40,0.0,0.0,0.0
102,RandomBlackBox,bikeMotorbike,vgg,40_60,bing,0.9466122984886169,60,0.0,0.0,0.0
103,RandomBlackBox,bikeMotorbike,vgg,40_60,bing,0.9117064476013184,80,0.0033898305,0.006896551724137931,0.0
104,RandomBlackBox,bikeMotorbike,vgg,40_60,bing,0.8675503134727478,100,0.006779661,0.006896551724137931,0.006666666666666667
105,RandomBlackBox,bikeMotorbike,vgg,40_60,bing,0.813912570476532,120,0.010169491,0.006896551724137931,0.013333333333333334
106,RandomBlackBox,bikeMotorbike,vgg,40_60,bing,0.7505518198013306,140,0.023728814,0.0,0.04666666666666667
107,RandomBlackBox,bikeMotorbike,vgg,40_60,bing,0.6783621907234192,160,0.0779661,0.006896551724137931,0.14666666666666667
108,RandomBlackBox,bikeMotorbike,vgg,40_60,bing,0.5938520431518555,180,0.14237288,0.006896551724137931,0.2733333333333333
109,RandomBlackBox,bikeMotorbike,vgg,40_60,bing,0.49957701563835144,200,0.2677966,0.034482758620689655,0.49333333333333335
110,RandomBlackBox,bikeMotorbike,vgg,50_50,bing,0.9883637428283691,20,0.0,0.0,0.0
111,RandomBlackBox,bikeMotorbike,vgg,50_50,bing,0.9719778299331665,40,0.0,0.0,0.0
112,RandomBlackBox,bikeMotorbike,vgg,50_50,bing,0.9466122984886169,60,0.0,0.0,0.0
113,RandomBlackBox,bikeMotorbike,vgg,50_50,bing,0.9117064476013184,80,0.0,0.0,0.0
114,RandomBlackBox,bikeMotorbike,vgg,50_50,bing,0.8675503134727478,100,0.006779661,0.0,0.013333333333333334
115,RandomBlackBox,bikeMotorbike,vgg,50_50,bing,0.813912570476532,120,0.027118644,0.006896551724137931,0.04666666666666667
116,RandomBlackBox,bikeMotorbike,vgg,50_50,bing,0.7505518198013306,140,0.044067796,0.0,0.08666666666666667
117,RandomBlackBox,bikeMotorbike,vgg,50_50,bing,0.6783621907234192,160,0.118644066,0.0,0.23333333333333334
118,RandomBlackBox,bikeMotorbike,vgg,50_50,bing,0.5938520431518555,180,0.18983051,0.013793103448275862,0.36
